orp_nazev,pocet_nakazenych_Q1,pocet_nakazenych_Q2,pocet_nakazenych_Q3,pocet_nakazenych_Q4,pocet_ockovanich_Q1,pocet_ockovanich_Q2,pocet_ockovanich_Q3,pocet_ockovanich_Q4,0-14,15-59,nad 59
Benešov,5461,679,134,3690,2639,15995,18141,12337,10634,34629,16072
Beroun,4935,840,305,4518,3798,16521,17874,13398,12440,38647,15000
Blansko,4135,749,93,4090,3459,14942,12349,11187,9586,31968,15491
Brandýs nad Labem-Stará Boleslav,9405,1146,399,8744,5132,24773,34573,22186,24617,69030,21807
Brno,20626,3578,992,30184,24919,98978,89205,85003,59790,221211,101404
Břeclav,4037,434,106,3714,3254,14813,12868,11891,8851,34565,16188
Chomutov,4808,1040,120,3974,3039,21161,19107,19001,13080,48655,19818
Chrudim,7984,1065,170,5317,4102,21715,20673,17924,13321,47739,22632
Děčín,7049,940,63,2663,1943,21839,17411,14664,12160,43336,20635
Frýdek-Místek,7341,1682,326,9052,4436,30906,23121,22245,17942,65646,28701
Havířov,4887,1229,174,6622,4082,23559,17721,17329,12338,48902,24338
Hodonín,4057,904,82,3989,2345,16472,12777,10706,8921,35024,16634
Hradec Králové,15892,816,220,9364,8264,45712,32020,35700,23424,82008,41586
Jablonec nad Nisou,6342,576,105,2775,3386,13660,13475,12143,9378,31808,14626
Jihlava,6215,1761,157,7021,4290,28288,25654,22494,16644,58267,26233
Karlovy Vary,7431,419,222,2625,5871,23362,18651,18706,12586,49457,24958
Karviná,4423,817,73,4792,2448,16062,12713,11025,8645,35733,17340
Kladno,10730,1340,294,7165,6705,31346,34232,25963,21274,73592,31199
Kolín,9010,772,153,4958,4551,22067,21285,18491,14070,48577,21757
Kroměříž,3488,929,56,5871,3287,18114,14433,11716,10424,38551,19107
Liberec,13718,1688,239,7314,8729,33182,36154,33813,24614,84194,36578
Litoměřice,4200,716,58,3183,2851,16370,13313,12218,9514,33885,15357
Mladá Boleslav,11264,1162,192,5843,4422,25656,29847,22516,18546,67349,27110
Most,5668,1248,91,3787,2535,19836,15636,14234,11668,44139,18192
Náchod,6721,221,44,1643,2991,18683,13505,14479,9334,33565,17443
Nýřany,5822,515,212,3294,2718,15544,14641,11936,9856,34491,13834
Olomouc,11633,2049,358,15465,10813,38865,38863,37084,27867,94552,42985
Opava,8083,1213,287,7208,5538,27777,21567,19561,15799,57668,27115
Ostrava,17867,4919,748,24958,14855,82967,69000,68900,48273,185145,83904
Pardubice,13823,1385,266,8550,6485,33248,33261,27122,21343,76668,34092
Plzeň,16959,1593,669,12122,12622,52169,43895,44560,30268,112584,51988
Prostějov,5483,1194,130,9647,4737,24757,20973,18472,15611,55971,26276
Přerov,4984,967,86,6341,3867,21654,15402,13482,11725,45245,22777
Příbram,5808,642,85,3323,4333,20635,16700,17112,10716,39889,19390
Sokolov,8598,324,106,1580,3177,19553,17537,14416,11740,43890,18872
Teplice,7447,1754,248,5786,3206,31131,22155,20889,17002,61906,27414
Trutnov,7243,142,32,2241,2667,16447,15359,14825,9627,35941,17478
Tábor,5619,1218,112,5131,3667,23816,19943,20472,12531,45409,22549
Třebíč,4476,1085,206,4181,3389,20554,18271,15762,11173,42535,20296
Uherské Hradiště,4645,1279,104,7056,4503,24718,20553,20284,13640,51409,24621
Vsetín,3602,1565,193,4736,2441,15389,13854,11391,9926,37680,17520
Zlín,5661,1698,135,8329,4218,28897,23146,23306,15401,55554,28008
Znojmo,5844,1256,141,6782,4798,22017,20702,18238,14833,52999,24214
Ústí nad Labem,8986,1778,171,7255,6465,34466,27655,25666,19484,68764,30403
Černošice,10985,1455,664,10674,7176,37285,43640,32571,31887,89380,31018
Česká Lípa,7319,1297,76,3484,2686,16586,20416,13354,12722,45120,18862
České Budějovice,9912,3049,575,13492,7756,45507,38270,37200,27477,93878,41805
Říčany,5910,764,279,5840,2758,18049,20672,15496,15416,42816,15253
Šlapanice,4273,715,156,6167,3684,17928,16963,14811,13665,41096,16341
Šumperk,3729,911,89,6101,2294,18061,13787,13317,10493,38285,19735
